"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"237823","NC_047560.1",7406669,7406671,"*",5.86546918041872e-38,1.11123394499017e-33,-50.9229921476787
"238947","NC_047560.1",8413466,8413468,"*",1.02420983301437e-20,3.59171451170345e-17,-57.3109243697479
"239559","NC_047560.1",8721700,8721702,"*",1.38189542589267e-12,5.73397683163516e-10,-50.702589710835
"246929","NC_047560.1",16318306,16318308,"*",1.86261505049743e-15,1.95382041861064e-12,-55.0356778797146
"247909","NC_047560.1",16772712,16772714,"*",4.07598553138328e-12,1.42230937494905e-09,-54.8296452406041
"248650","NC_047560.1",17008724,17008726,"*",6.64696715768963e-18,1.32727382726434e-14,-54.0395233943621
"249568","NC_047560.1",17806179,17806181,"*",3.81409120548239e-18,8.1543955329866e-15,-56.205441583006
"258857","NC_047560.1",22649690,22649692,"*",8.23379758530128e-14,5.24451075828073e-11,-51.803551609323
"264504","NC_047560.1",28514631,28514633,"*",1.72519387720329e-20,5.7885996193408e-17,50.4587155963303
"264560","NC_047560.1",28630556,28630558,"*",7.07739684227452e-14,4.6003644805076e-11,-55.5229716520039
"264561","NC_047560.1",28630560,28630562,"*",4.16180026524093e-13,2.08427987253459e-10,-53.0769230769231
"271748","NC_047560.1",33249810,33249812,"*",2.03629777650013e-23,1.08336557211256e-19,-58.3373326934357
"277183","NC_047560.1",40558335,40558337,"*",1.32657993283812e-26,1.07898808967588e-22,50.3117364563148
"282773","NC_047560.1",47081397,47081399,"*",5.77290540648369e-14,3.87400378357871e-11,-57.4906367041198
"282939","NC_047560.1",47371134,47371136,"*",3.45460672988062e-16,4.47979758468495e-13,-50.3633720930233
"288963","NC_047560.1",51259518,51259520,"*",2.67860071897935e-15,2.6941486885387e-12,-52.265306122449
"289115","NC_047560.1",51295669,51295671,"*",4.75615928278058e-11,1.11108704895201e-08,-50.4578754578755
"289161","NC_047560.1",51312005,51312007,"*",9.15108878501918e-16,1.05934360135107e-12,-50.0341963849536
"290300","NC_047560.1",51461747,51461749,"*",1.30183102590978e-12,5.4512650994302e-10,-51.9001701644923
"294713","NC_047560.1",52648180,52648182,"*",4.26017557436105e-12,1.47696141160332e-09,-50.1162490312581
"295052","NC_047560.1",52868825,52868827,"*",6.92387725460594e-20,2.12157307655652e-16,53.0478955007257
"295053","NC_047560.1",52869181,52869183,"*",8.9204938194618e-20,2.68568942807567e-16,61.262908777969
"295351","NC_047560.1",53299600,53299602,"*",8.46334055602018e-17,1.26180049200024e-13,-57.0228601807549
"295352","NC_047560.1",53299608,53299610,"*",7.03286491197933e-17,1.07854786816827e-13,-55.770944741533
"295353","NC_047560.1",53299628,53299630,"*",2.08639522503842e-22,9.47735325520103e-19,-62.6647495806374
"295354","NC_047560.1",53299658,53299660,"*",9.23937393283388e-27,7.67569186775681e-23,-58.0789422516041
"295355","NC_047560.1",53299668,53299670,"*",6.20635014541786e-29,6.64943685225727e-25,-59.8195800059154
"295356","NC_047560.1",53299677,53299679,"*",9.33521767042687e-32,1.33049897878899e-27,-63.8474295190713
"295357","NC_047560.1",53299685,53299687,"*",9.11107122963555e-32,1.3105762123955e-27,-63.4009009009009
"295358","NC_047560.1",53299691,53299693,"*",6.70882655152851e-28,6.51393132837334e-24,-57.5657894736842
"295360","NC_047560.1",53299793,53299795,"*",1.42633209497505e-26,1.14810059042492e-22,-59.1044061302682
"295362","NC_047560.1",53299810,53299812,"*",1.59066595638022e-31,2.24648175499622e-27,-55.1470588235294
"295363","NC_047560.1",53299897,53299899,"*",5.02212137638001e-21,1.83144634626032e-17,-56.8291611769873
"295531","NC_047560.1",53347239,53347241,"*",3.61187412840944e-15,3.49384521322833e-12,-56.4522908785204
"295723","NC_047560.1",53411696,53411698,"*",6.43961661170879e-17,1.00296276395663e-13,50.936805335027
"296313","NC_047560.1",53607810,53607812,"*",3.12167128620715e-14,2.28215338290143e-11,53.3478260869565
"297842","NC_047560.1",54963050,54963052,"*",9.09819283884111e-15,7.84362722969591e-12,57.213469261662
"298735","NC_047560.1",55684523,55684525,"*",1.74513581416671e-19,4.88486811448136e-16,55.6521739130435
"299159","NC_047560.1",55781951,55781953,"*",2.36567195910756e-16,3.18467638760996e-13,61.5461847389558
"300087","NC_047560.1",56345055,56345057,"*",1.62042037424087e-29,1.8509955784421e-25,-67.8200087374399
"305742","NC_047560.1",62042483,62042485,"*",4.81020960426068e-12,1.63624971567621e-09,52.4886877828054
"306080","NC_047560.1",62373129,62373131,"*",1.5396275113744e-20,5.19965376480212e-17,-65.3082549634274
"309224","NC_047560.1",63528461,63528463,"*",1.15399658656723e-10,2.33249509247479e-08,-50.7864028411974
"321010","NC_047560.1",71222758,71222760,"*",2.21307100718205e-32,3.4727758173684e-28,-51.1302294197031
"324223","NC_047561.1",568567,568569,"*",2.54985463175673e-14,1.92386976662314e-11,-51.9726623174899
"324947","NC_047561.1",822412,822414,"*",2.98909864375012e-21,1.12983498970226e-17,-63.0952380952381
"326658","NC_047561.1",1270393,1270395,"*",2.24093522744843e-16,3.0351662226084e-13,-58.0995475113122
"326723","NC_047561.1",1283095,1283097,"*",1.56379419978943e-13,9.06177520524724e-11,-50.0874125874126
"331449","NC_047561.1",2740686,2740688,"*",2.24603110099522e-12,8.64532258218938e-10,50.8355795148248
"332645","NC_047561.1",3223469,3223471,"*",3.41550054555977e-15,3.3374236830624e-12,-58.4348084348084
"332646","NC_047561.1",3223484,3223486,"*",2.47992618323174e-13,1.34237375250725e-10,-54.9019607843137
"332647","NC_047561.1",3223493,3223495,"*",1.01041992866483e-12,4.39078782941487e-10,-53.6448880822746
"332693","NC_047561.1",3238703,3238705,"*",8.41449039673277e-14,5.34379025912809e-11,52
"337319","NC_047561.1",3764945,3764947,"*",4.94029887627388e-13,2.40214354275061e-10,50.936329588015
"339370","NC_047561.1",4135901,4135903,"*",3.97158925054077e-14,2.81732407395635e-11,51.9151915191519
"339379","NC_047561.1",4136351,4136353,"*",6.91106141117488e-16,8.29711425093145e-13,52.386770935158
"339686","NC_047561.1",4218358,4218360,"*",1.79799031313794e-27,1.63004559067734e-23,-60.5582524271845
"340240","NC_047561.1",4334916,4334918,"*",1.5000433710802e-14,1.21309006463546e-11,-53.048128342246
"340352","NC_047561.1",4402847,4402849,"*",1.07123602671522e-19,3.15784747319106e-16,-63.5294117647059
"340475","NC_047561.1",4473393,4473395,"*",5.58565458426276e-18,1.1357880931775e-14,56.8701773385678
"340476","NC_047561.1",4473404,4473406,"*",6.55956563685353e-16,7.93645673280623e-13,50.183284457478
"340478","NC_047561.1",4473868,4473870,"*",1.25707731629168e-17,2.37289624496706e-14,52.65664160401
"340479","NC_047561.1",4473872,4473874,"*",1.26385542871822e-21,5.16656060669811e-18,54.7619047619048
"340480","NC_047561.1",4473905,4473907,"*",4.46722873951722e-28,4.42033447789666e-24,63.4635785007072
"340495","NC_047561.1",4476525,4476527,"*",4.2612298267083e-26,3.22922043245979e-22,60.9143983622716
"340496","NC_047561.1",4476531,4476533,"*",6.47871671667118e-19,1.61036961663049e-15,50.8597580908794
"340511","NC_047561.1",4487622,4487624,"*",3.85984760927277e-34,6.58939225165391e-30,-75.125568045922
"344257","NC_047561.1",5192524,5192526,"*",1.93743950046931e-12,7.63727290398488e-10,-51.8300060496068
"345291","NC_047561.1",5277438,5277440,"*",4.52993939791179e-17,7.39994462178465e-14,-60.4504976427449
"346192","NC_047561.1",5448720,5448722,"*",4.28335961217984e-12,1.48367467798224e-09,-50.5412371134021
"347798","NC_047561.1",6023913,6023915,"*",4.92900160735582e-19,1.25529476986047e-15,-57.0573267474929
"348446","NC_047561.1",6163781,6163783,"*",1.37902832528858e-16,1.96006114386112e-13,-51.0232886379675
"351353","NC_047561.1",6740817,6740819,"*",2.14548058476449e-32,3.4010663751086e-28,-72.2591969575075
"352675","NC_047561.1",7009090,7009092,"*",6.22286651008943e-18,1.25224636316098e-14,-56.3458373039938
"352829","NC_047561.1",7056649,7056651,"*",1.18153779122199e-15,1.32053346424023e-12,50.0862641008626
"352874","NC_047561.1",7068929,7068931,"*",7.08754245780932e-17,1.08372367281846e-13,-59.6588802373007
"359968","NC_047561.1",8576316,8576318,"*",1.1153461394678e-20,3.8676596442745e-17,-54.9394221808015
"365967","NC_047561.1",9477975,9477977,"*",1.29817424428206e-14,1.06875382714291e-11,-51.058201058201
"365996","NC_047561.1",9480481,9480483,"*",7.66084254240839e-21,2.73592302116781e-17,-56.4043610472447
"366087","NC_047561.1",9499196,9499198,"*",1.4747688922485e-21,5.90484955872912e-18,-58.0684684684685
"366089","NC_047561.1",9499252,9499254,"*",1.4085366766844e-19,4.01502498619241e-16,-55.4905022118137
"366273","NC_047561.1",9535919,9535921,"*",4.99241214563136e-20,1.57493641747552e-16,-62.1505376344086
"369802","NC_047561.1",10166147,10166149,"*",4.94308189622482e-13,2.40274471017283e-10,-50.4610095327395
"372664","NC_047561.1",10991632,10991634,"*",2.38175379341293e-15,2.42788713117594e-12,-53.4653465346535
"372736","NC_047561.1",11011516,11011518,"*",5.29035333478349e-23,2.63418746898741e-19,-55.6701030927835
"372962","NC_047561.1",11074065,11074067,"*",2.06242448790842e-12,8.06650507433064e-10,-52.2112830129708
"374505","NC_047561.1",11293245,11293247,"*",3.1757760422465e-24,1.86879875381881e-20,55.0955142418557
"376849","NC_047561.1",12089366,12089368,"*",1.10336921089191e-23,6.05690859873458e-20,-66.8714087576778
"378696","NC_047561.1",12462862,12462864,"*",8.82497918585305e-25,5.59582597636656e-21,-61.6550116550117
"381861","NC_047561.1",12995259,12995261,"*",1.57242278068682e-15,1.67889265208064e-12,53.5294117647059
"391013","NC_047561.1",14642731,14642733,"*",1.01924374596168e-10,2.10392588046926e-08,-51.1583011583012
"395022","NC_047561.1",15770959,15770961,"*",1.43341579184621e-13,8.41905027540132e-11,-51.3001849635513
"396420","NC_047561.1",16116695,16116697,"*",3.64737782802138e-12,1.29307875116151e-09,-55.241935483871
"398111","NC_047561.1",16598104,16598106,"*",6.46692068518734e-18,1.29632061210754e-14,58.9034676663543
"398386","NC_047561.1",16644072,16644074,"*",1.71101041351162e-14,1.35963546912254e-11,-51.7628205128205
"398395","NC_047561.1",16644789,16644791,"*",2.03815955239426e-19,5.62401380988138e-16,-58.2678957550927
"401999","NC_047561.1",17510457,17510459,"*",2.1925507470368e-12,8.48361007050725e-10,-50.2061444341003
"402860","NC_047561.1",17742569,17742571,"*",1.8116170228395e-14,1.43225528264481e-11,-50.6711733462096
"403494","NC_047561.1",18103027,18103029,"*",3.78805569645479e-19,9.87385376152593e-16,-55.1850527445021
"403590","NC_047561.1",18126188,18126190,"*",1.23608271038591e-14,1.02688667835678e-11,-56.6772655007949
"403626","NC_047561.1",18139813,18139815,"*",3.84297313682823e-29,4.23413626518684e-25,63.1578947368421
"403627","NC_047561.1",18139818,18139820,"*",3.70049134216787e-27,3.1761237269622e-23,64.7727272727273
"403724","NC_047561.1",18155774,18155776,"*",1.35235990976245e-15,1.48579698557006e-12,-52.0877192982456
"404528","NC_047561.1",18455266,18455268,"*",1.88852066330611e-21,7.39005769275149e-18,58.8170779475127
"405141","NC_047561.1",18719859,18719861,"*",8.44742247439183e-15,7.35195074674634e-12,-58.1418581418582
"405265","NC_047561.1",18762490,18762492,"*",3.37961721873781e-13,1.74428567085524e-10,-51.8753781004235
"405266","NC_047561.1",18763011,18763013,"*",2.21084525021768e-16,3.00226425110039e-13,-50.7072766662419
"405422","NC_047561.1",18805647,18805649,"*",1.73927343526745e-15,1.83809148707417e-12,-55.8014216922724
"405616","NC_047561.1",18844389,18844391,"*",2.94060560308546e-14,2.17227148988469e-11,51.9237316990126
"406572","NC_047561.1",18978589,18978591,"*",2.07572668143238e-16,2.83862766471353e-13,-54.1854636591479
"406643","NC_047561.1",18997735,18997737,"*",5.93979381834918e-19,1.48592320336059e-15,-52.4398395721925
"407753","NC_047561.1",19368717,19368719,"*",1.21841425712845e-27,1.15856508378358e-23,58.2677165354331
"408024","NC_047561.1",19459785,19459787,"*",1.47848307520927e-18,3.43326111049862e-15,-62.0583717357911
"408044","NC_047561.1",19465389,19465391,"*",6.78024592328578e-17,1.04605623136045e-13,-54.4980443285528
"408149","NC_047561.1",19479179,19479181,"*",9.17459311349522e-20,2.75684826946574e-16,-53.0884904569115
"408996","NC_047561.1",19771382,19771384,"*",7.3438916172496e-43,1.65346026506732e-38,-71.0388787710824
"409603","NC_047561.1",19923576,19923578,"*",1.67566697181522e-25,1.21382859405594e-21,-61.1111111111111
"409866","NC_047561.1",19977064,19977066,"*",6.49247427507038e-17,1.0086182733558e-13,58.3248212461696
"410557","NC_047561.1",20205412,20205414,"*",4.08480269069568e-19,1.05763649376543e-15,-56.9134701159679
"417338","NC_047561.1",22117151,22117153,"*",1.27808896471347e-19,3.67691778993076e-16,60.7260726072607
"419590","NC_047561.1",22717426,22717428,"*",2.53467710785966e-17,4.42932427036019e-14,-54.1833923652106
"419707","NC_047561.1",22748318,22748320,"*",2.10088782380423e-16,2.86352552077958e-13,-54.841008283602
"419720","NC_047561.1",22752697,22752699,"*",6.39834972699227e-15,5.80266109234994e-12,50.1098901098901
"420309","NC_047561.1",22923113,22923115,"*",6.8839775445542e-21,2.48129710831889e-17,-68.4090909090909
"420310","NC_047561.1",22923893,22923895,"*",2.21597016175362e-12,8.54655399992342e-10,-59.6562425399857
"420318","NC_047561.1",22924667,22924669,"*",9.19147829985979e-15,7.91087923130682e-12,57.2922399559714
"420397","NC_047561.1",22968079,22968081,"*",2.58699942233423e-15,2.6097097342643e-12,-61.3516192994052
"421196","NC_047561.1",23184053,23184055,"*",3.46789682304004e-13,1.78215147862907e-10,-51.7094017094017
"422717","NC_047561.1",23812979,23812981,"*",9.13063049493039e-16,1.05776351871074e-12,61.3333333333333
"422973","NC_047561.1",23966174,23966176,"*",9.40585048431536e-23,4.53794046385727e-19,51.1224809439282
"423720","NC_047561.1",24247761,24247763,"*",1.47244386615791e-13,8.61246105560356e-11,-50.7078039927405
"426554","NC_047561.1",24700133,24700135,"*",1.50772622988707e-19,4.26645078687424e-16,-58.5266585266585
"426608","NC_047561.1",24723292,24723294,"*",1.72292494257125e-22,7.94242371064653e-19,65.7894736842105
"426779","NC_047561.1",24784802,24784804,"*",1.43562430151593e-17,2.67098174823715e-14,-54.1539799913006
"429278","NC_047561.1",25479720,25479722,"*",1.73868642305821e-19,4.8756002731505e-16,-51.095561210065
"430629","NC_047561.1",25925789,25925791,"*",4.31400939492018e-30,5.36151676269573e-26,70.5825958702065
"430652","NC_047561.1",25937618,25937620,"*",2.08564606196871e-29,2.347892010252e-25,68.9530429848205
"431712","NC_047561.1",26387190,26387192,"*",2.48575778737296e-16,3.3347773558375e-13,-56.2023562023562
"431813","NC_047561.1",26407242,26407244,"*",5.95850160211924e-13,2.8127152817091e-10,50.5154639175258
"432792","NC_047561.1",26724978,26724980,"*",1.78131850171023e-19,4.96824470268657e-16,61.0752688172043
"437396","NC_047561.1",27920157,27920159,"*",7.24782617821875e-21,2.60037790657125e-17,-69.2352092352092
"437436","NC_047561.1",27931128,27931130,"*",1.39725483980737e-18,3.26906938027992e-15,52.3351648351648
"437546","NC_047561.1",27992895,27992897,"*",5.68815557645351e-14,3.82704992641036e-11,50.3401360544218
"439692","NC_047561.1",28339095,28339097,"*",1.051916472783e-18,2.54148106144656e-15,-65.8598158598159
"439776","NC_047561.1",28356406,28356408,"*",2.28566645779956e-12,8.77180453962989e-10,-54.5833333333333
"440493","NC_047561.1",28535237,28535239,"*",1.99893582651603e-19,5.5354455757483e-16,58.3065953654189
"440665","NC_047561.1",28608523,28608525,"*",1.10443081422706e-20,3.8383766319687e-17,50.3586800573888
"440714","NC_047561.1",28623250,28623252,"*",2.42628666458071e-12,9.22713011859064e-10,50.2772143340095
"441495","NC_047561.1",29008168,29008170,"*",2.8591717640472e-15,2.85072410906664e-12,-50.1914580265096
"443009","NC_047561.1",29465549,29465551,"*",5.60618777969015e-18,1.13847316901567e-14,-57.4762578298646
"443033","NC_047561.1",29470039,29470041,"*",5.77950559498274e-14,3.87675832375716e-11,-57.3955262701578
"446953","NC_047561.1",30429377,30429379,"*",6.21986109605294e-18,1.25224636316098e-14,-52.6057341992713
"448930","NC_047561.1",30866274,30866276,"*",6.09200516806445e-17,9.54036928478323e-14,-53.150826446281
"450036","NC_047561.1",31093308,31093310,"*",6.60861093085462e-13,3.0719937897885e-10,50.6629213483146
"450055","NC_047561.1",31098854,31098856,"*",2.07824332495887e-40,4.30478757450399e-36,80
"450901","NC_047561.1",31217075,31217077,"*",1.00649486837485e-22,4.81381502490399e-19,-65.7148407148407
"456093","NC_047561.1",33164453,33164455,"*",6.18864951643547e-25,4.02267161955139e-21,60.7692307692308
"457766","NC_047561.1",34210527,34210529,"*",7.49909527328986e-16,8.88685537031114e-13,-57.3414304993252
"458814","NC_047561.1",34726818,34726820,"*",1.97673711189539e-30,2.51713019757212e-26,-50.865164057046
"460298","NC_047561.1",35177585,35177587,"*",9.32140006559856e-11,1.95259875718997e-08,-50.1666666666667
"464157","NC_047561.1",36216580,36216582,"*",6.18643557051982e-30,7.50839512772e-26,-75.7998957790516
"466381","NC_047561.1",37196942,37196944,"*",7.12989420716823e-30,8.52032828230614e-26,-65.1825785393717
"467319","NC_047561.1",37597758,37597760,"*",1.73021859266542e-14,1.3727924490049e-11,-50.2521008403361
"470558","NC_047561.1",38673483,38673485,"*",1.15305059341324e-13,6.9901727726009e-11,55.1695616211745
"471042","NC_047561.1",38825098,38825100,"*",2.5181984612022e-39,5.08060958983833e-35,-65.231884057971
"472014","NC_047561.1",38948700,38948702,"*",9.93395588767847e-13,4.3277033426128e-10,55.8974358974359
"472677","NC_047561.1",39146512,39146514,"*",2.12214085542757e-15,2.20079194426227e-12,-55.2772808586762
"474491","NC_047561.1",39911373,39911375,"*",1.75351190425023e-14,1.38914544588939e-11,-58.3448548291527
"474689","NC_047561.1",39971492,39971494,"*",2.16736033157169e-15,2.24170149931803e-12,53.2395919492694
"475577","NC_047561.1",40087989,40087991,"*",6.2050381303425e-18,1.25190197341635e-14,-51.197458455523
"475663","NC_047561.1",40102931,40102933,"*",2.77187305516989e-12,1.03141502006777e-09,51.3043478260869
"476259","NC_047561.1",40240044,40240046,"*",2.45744720048621e-18,5.43057061288253e-15,-58.6200517943026
"476270","NC_047561.1",40243913,40243915,"*",3.54066473628568e-19,9.29136868636554e-16,-61.5170278637771
"476318","NC_047561.1",40276112,40276114,"*",1.82371859383488e-11,5.00562129323034e-09,50.7967237527923
"478072","NC_047561.1",40839460,40839462,"*",5.05435187063886e-14,3.45752185081882e-11,52.9864137400667
"478074","NC_047561.1",40839486,40839488,"*",1.31839020909911e-20,4.51133118745173e-17,55.4860241969128
"478352","NC_047561.1",40947941,40947943,"*",1.23358477420271e-25,9.1257023665652e-22,-62.5200810225606
"478360","NC_047561.1",40951667,40951669,"*",3.4337601082162e-26,2.64079796124551e-22,61.81638480123
"478361","NC_047561.1",40951680,40951682,"*",4.54071646910712e-22,1.96492749893126e-18,-50.3974293928632
"479561","NC_047561.1",41484194,41484196,"*",3.80695750016071e-15,3.65524175202671e-12,-52.9304029304029
"479572","NC_047561.1",41484979,41484981,"*",4.76005474569253e-30,5.86891739778235e-26,70.7575757575758
"479620","NC_047561.1",41520066,41520068,"*",3.80478603744834e-16,4.87690408085837e-13,-55.4761904761905
"479698","NC_047561.1",41544529,41544531,"*",8.21637552002425e-19,2.01329593508451e-15,-52.7472527472528
"479884","NC_047561.1",41600815,41600817,"*",2.09296223188665e-21,8.16948940650152e-18,-69.4567627494457
"480013","NC_047561.1",41641528,41641530,"*",3.52267039058661e-28,3.50803570689518e-24,-69.1105039465695
"480276","NC_047561.1",41724270,41724272,"*",1.55238329906725e-22,7.22053021410004e-19,59.7945102744863
"480288","NC_047561.1",41729920,41729922,"*",1.49042012002232e-16,2.10108539921025e-13,-51.1424614851999
"482647","NC_047561.1",42110540,42110542,"*",8.03667553722397e-18,1.58039606006576e-14,64.9007657446476
"482738","NC_047561.1",42143915,42143917,"*",1.62712473761782e-27,1.4869231430469e-23,-74.6741630462561
"484606","NC_047561.1",42698565,42698567,"*",4.30959008507765e-15,4.06992733809158e-12,-53.5882352941176
"484721","NC_047561.1",42715609,42715611,"*",4.34876387265275e-25,2.93734247740078e-21,-62.6645669291339
"487026","NC_047561.1",43479136,43479138,"*",1.83463375126453e-13,1.03463257310318e-10,-55.7912178956089
"487880","NC_047561.1",43603200,43603202,"*",1.01322560729961e-11,3.05406543332925e-09,-50.2659574468085
"490937","NC_047561.1",44249949,44249951,"*",2.34403475444276e-22,1.06166260664176e-18,-64.5879120879121
"491112","NC_047561.1",44279387,44279389,"*",1.0830360237717e-13,6.64238902120653e-11,-53.2224532224532
"493229","NC_047561.1",44464966,44464968,"*",3.42716497631665e-14,2.48444527223654e-11,-52.5252525252525
"493235","NC_047561.1",44466642,44466644,"*",1.84645951948235e-27,1.65809833185356e-23,-58.5366959992742
